Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Carretero, Tomás",http://viaf.org/viaf/121308713,M,España,NA,1935
"Carricarte, Arturo R. de",https://www.ecured.cu/Arturo_de_Carricarte,M,Cuba,1880,1948
"Carriego, Evaristo",http://viaf.org/viaf/22159020,M,Argentina,1882,1912
"Carrier-Belleuse, Albert-Ernest",http://viaf.org/viaf/47019469,M,Francia,1824,1887
"Carrière, Eugène",http://viaf.org/viaf/5010140,M,Francia,1849,1906
"Cartasegna, Rolando",http://www.linardiyrisso.com/antiguos/historia/291_LITERATURA_ARGENTINA.pdf,M,Argentina,NA,NA
"Carvalho, Elysio de",http://viaf.org/viaf/62991992,M,Brasil,1880,1925
"Carvalho, Ronald de",http://viaf.org/viaf/23545977,M,Brasil,1893,1935
"Carvallo, Ramón Liborio",https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ram%C3%B3n_Liborio_Carvallo,M,Chile,NA,1926
"Carvallo, Teresa",http://viaf.org/viaf/66051682,F,Perú,1895,NA
"Casal, Julián del",http://viaf.org/viaf/24758421,M,Cuba,1863,1893
"Casal, Julio J.",http://viaf.org/viaf/49237800,M,Uruguay,1889,1954
"Casalduero, Joaquín",http://viaf.org/viaf/39445921,M,España,1903,1990
"Casañal Shakery, Alberto",http://viaf.org/viaf/31615097,M,España,1874,1943
"Casanova, Damià",http://viaf.org/viaf/316750056,M,NA,1864,1933
"Casanovas, Enric",http://viaf.org/viaf/30345785,M,España,1882,1948
"Casanovas, Martí",http://blogs.monografias.com/cultura-cuba/2012/10/02/martin-casanovas-un-hombre-de-avance/,M,España,1894,1966
"Casas, Álvaro de las",http://viaf.org/viaf/63432910,M,España,1901,1950
"Casas, Augusto",http://viaf.org/viaf/87005648,M,España,1906,1973
"Casas, Ramón",http://viaf.org/viaf/64805264,M,España,1866,1932
"Casella, Edgardo",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=21&ved=2ahUKEwj-wt-tmsTmAhVD3KQKHSX3D844FBAWMAB6BAgGEAI&url=http%3A%2F%2Frepositorio.filo.uba.ar%2Fbitstream%2Fhandle%2Ffilodigital%2F4641%2Fuba_ffyl_t_2014_893645.pdf%3Fsequence%3D1%26isAllowed%3Dy&usg=AOvVaw2ID9dtaoXaVO9HbWmRtWN-,M,Argentina,NA,NA
"Casellas, Raimón",http://viaf.org/viaf/41834940,M,España,1855,1910
"Caso, Antonio",http://viaf.org/viaf/20474394,M,México,1883,1946
"Casorati, Felice",http://viaf.org/viaf/40743254,M,Italia,1883,1963
"Caspe y Rodríguez, Antonio",http://dbe.rah.es/biografias/47815/antonio-caspe-y-rodriguez,M,España,1762,1833
"Casseres, Benjamin de",http://viaf.org/viaf/2842708,M,Estados Unidos,1873,1945
"Cassou, Jean",http://viaf.org/viaf/121657958,M,Francia,1897,1986
"Castañeda Ledón, Tomás",https://digital.csic.es/bitstream/10261/197402/1/Ram%c3%adrez%20Chicharro_CHDJ_2014.pdf,M,Cuba,NA,NA
"Castañeda, Tiburcio P.",http://viaf.org/viaf/15152986570112670402,M,Cuba,NA,NA
"Castelar, Emilio",http://viaf.org/viaf/27085279,M,España,1832,1899
"Castellanos, Jesús",http://viaf.org/viaf/26047123,M,Cuba,1879,1912
"Castellanos, Roberto",https://es.wikipedia.org/wiki/Roberto_Castellanos,M,Uruguay,1871,1942
"Castello, Camilo",http://viaf.org/viaf/7399630,M,Portugal,1825,1890
"Castelnuovo, Elías",http://viaf.org/viaf/27984127,M,Uruguay,1893,1982
"Castelnuovo, Enrico",http://viaf.org/viaf/17255402,M,Italia,1839,1915
"Castillo de González, Aurelia",http://viaf.org/viaf/39028976,F,Cuba,1842,1920
"Castillo Ledón, Luis",http://viaf.org/viaf/68008087,M,México,1880,1944
"Castillo, Luciano",http://viaf.org/viaf/35917552,M,Perú,1899,NA
"Castiñeiras, Alejandro",http://cedinci.unsam.edu.ar/PDF/Publicaciones/Catalogos/Catalogo_SA.pdf,M,Argentina,NA,NA
"Castro Leal, Antonio",http://viaf.org/viaf/56622388,M,México,1895,1981
"Castro Osório, João de",http://viaf.org/viaf/71453747,M,Portugal,1899,1970
"Castro, Américo",http://viaf.org/viaf/41855030,M,España,1885,1972
"Castro, Cristóbal de",http://viaf.org/viaf/86556457,M,España,1874,1953
"Castro, Ernesto L.",http://viaf.org/viaf/59102654,M,Argentina,1902,NA
"Castro, Eugénio de",http://viaf.org/viaf/49977715,M,Portugal,1869,1944
"Castro, Fernanda de",http://viaf.org/viaf/71425897,F,Portugal,1900,1994
"Castro, Ferreira de",http://viaf.org/viaf/12335285,M,Portugal,1898,1974
"Castro, Gonzalo de",http://viaf.org/viaf/315088468,M,España,1858,1905
"Castro, Manuel de",http://viaf.org/viaf/100182152,M,Uruguay,1896,1970
"Castro, Raúl de",http://viaf.org/viaf/4866156811377445390000,M,Uruguay,1893,1968
"Castro, Rosalía de",http://viaf.org/viaf/51711491,F,España,1837,1885
"Castrovido, Roberto",http://viaf.org/viaf/87010407,M,España,1864,1941
"Castrovido, Roberto de",https://es.wikipedia.org/wiki/Roberto_Castrovido,M,España,1864,1941
"Catalá, Ramón A.",http://viaf.org/viaf/304917628,M,Cuba,1866,1941
"Catalina, Severo",http://viaf.org/viaf/32310718,M,España,1832,1871
"Catarineu, Ricardo J.",http://viaf.org/viaf/87694784,M,España,1868,1915
Catulle,http://viaf.org/viaf/298310776,M,Italia,-84,-54
"Cavalcanti, Alberto",http://viaf.org/viaf/35250472,M,Brasil,1897,1982
"Cavestany, Juan Antonio",http://viaf.org/viaf/68762294,M,España,1861,1924
"Cávia, Mariano de",http://viaf.org/viaf/45652949,M,España,1855,1920
"Cazalis, Henri",http://viaf.org/viaf/51264035,M,Francia,1840,1909
"Cebreiro, Álvaro",https://viaf.org/viaf/38054812,M,España,1903,1956
"Cejador y Frauca, Julio",http://viaf.org/viaf/17261914,M,España,1864,1927
"Celis Maturana, Víctor",https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/V%C3%ADctor_R._Celis_Maturana,M,Chile,1880,1945
"Cendoya, Juan I.",http://viaf.org/viaf/6152023711103312378,M,Argentina,1896,NA
"Cendrars, Blaise",http://viaf.org/viaf/82676625,M,Francia,1887,1961
"Ceniceros Andonegui, José Ángel","https://viaf.org/viaf/38389484/#Ceniceros,_Jos%C3%A9_Angel,_1900-",M,México,1900,1979
"Centeno, Augusto",http://viaf.org/viaf/13930207,M,NA,1901,1965
"Centurión, Emilio",http://viaf.org/viaf/48025956,M,Argentina,1894,1970
"Ceriello, Rodolfo",http://viaf.org/viaf/77797764,M,Italia,NA,NA
"Cernuda, Luis",http://viaf.org/viaf/44296556,M,España,1902,1963
"Cerruto, Óscar",http://viaf.org/viaf/24613611,M,Bolivia,1912,1981
"Cervantes Saavedra, Miguel de",http://viaf.org/viaf/17220427,M,España,1547,1616
"Cervera y Topete, Pascual",http://viaf.org/viaf/77253835,M,España,1839,1909
"Cerviño, Pedro Antonio",http://viaf.org/viaf/187000187,M,Argentina,1757,1816
"Céspedes, Carlos Manuel de",http://viaf.org/viaf/54167686,M,Cuba,1819,1874
"Cestero, Tulio M.",http://viaf.org/viaf/75455019,M,República Dominicana,1877,1955
"Cézanne, Paul",http://viaf.org/viaf/39374836,M,Francia,1839,1906
"Chabás, Juan",http://viaf.org/viaf/66475563,M,España,1900,1954
"Chabes, Mario",https://books.google.de/books?id=hg3EDgAAQBAJ&pg=PA48&lpg=PA48&dq=mario+chabes&source=bl&ots=E1k7GorR96&sig=ACfU3U3BCcReM-af1tA9ZoTkN2SJJUkCig&hl=de&sa=X&ved=2ahUKEwietpvp7bvgAhUFuRoKHboQAvgQ6AEwCnoECAYQAQ#v=onepage&q=mario%20chabes&f=false,M,Perú,1903,1981
"Chacel, Rosa",http://viaf.org/viaf/111966111,F,España,1898,1994
"Chacón Lorca, Luis Eduardo",http://viaf.org/viaf/118145857129922922990,M,Chile,NA,NA
"Chacón y Calvo, José María",http://viaf.org/viaf/17241599,M,Cuba,1893,1969
"Chagall, Marc",http://viaf.org/viaf/103953801,M,Francia,1887,1985
"Champourcin, Ernestina de",http://viaf.org/viaf/12367718,F,España,1905,1999
"Champourcin, F. Michel de",http://viaf.org/viaf/7156856191449601033,NA,España,NA,NA
"Chamúdes, Marcos",http://viaf.org/viaf/218651604,M,Chile,1907,1989
"Chapí, Ruperto",http://viaf.org/viaf/42024810,M,España,1851,1909
"Chaplin, Charlie",http://viaf.org/viaf/14767533,M,Reino Unido,1889,1977
"Charlot, Jean",http://viaf.org/viaf/109001357,M,Francia,1898,1979
"Charriaut, Henri",http://viaf.org/viaf/39752601,M,Francia,1873,NA
"Chateaubriand, François-René de",http://viaf.org/viaf/7388218,M,Francia,1768,1848
"Chaves Nogales, Manuel",http://viaf.org/viaf/73894289,M,España,1897,1944
"Chavette, Eugène",http://viaf.org/viaf/46758834,M,Francia,1827,1902
"Chávez Aliaga, Nazario",http://viaf.org/viaf/55714895,M,Perú,1891,1978
"Chávez León, Fernando Luis",http://viaf.org/viaf/46689270,M,NA,NA,NA
"Chávez Orozco, Luis",http://viaf.org/viaf/76360007,M,México,1901,1966
"Chejov, Anton Pavlovich","https://viaf.org/viaf/95216565/#%C4%8Cechov,_Anton_Pavlovi%C4%8D,_1860-1904",M,NA,1860,1904
"Chénier, André",http://viaf.org/viaf/39404970,M,Francia,1762,1794
"Cherbuliez, Victor",http://viaf.org/viaf/8916,M,Francia,1829,1899
"Chéret, Jules",http://viaf.org/viaf/61682584,M,Francia,1836,1932
"Chivatcheff, Boris",https://bnr.bg/fr/post/print/100538859/katia-zografova-avocate-des-ecrivains-bulgares-connus-oublies-mis-a-lindex,M,NA,NA,NA
"Chocano, José Santos",http://viaf.org/viaf/71504072,M,Perú,1875,1934
"Chopitea, Carlos Dorado",https://books.google.de/books?id=4BxKDAAAQBAJ&pg=PA54&lpg=PA54&dq=carlos+dorado+chopitea+escritor&source=bl&ots=uo96FQdIuB&sig=ACfU3U2ihNz3SyTG3n7DcI92bpCBQssPQg&hl=de&sa=X&ved=2ahUKEwjz1Kq9p8TmAhWPC-wKHYXJC1EQ6AEwAnoECAkQAQ#v=onepage&q=carlos%20dorado%20chopitea%20escritor&f=false,M,Bolivia,NA,NA
"Christiansen, Hans",http://viaf.org/viaf/22937756,M,Alemania,1866,1945
"Chukiwanka Ayulo, Francisco",http://viaf.org/viaf/232432251,M,Perú,1877,1957
"Cicero, Marcus Tullius",http://viaf.org/viaf/78769600,M,Italia,-106,-43
"Cilla Pérez, Ramón",http://viaf.org/viaf/86582239,M,España,1859,1937
"Cioflec, Romulus",http://viaf.org/viaf/72679026,M,Rumania,1882,1955
"Ciria y Escalante, José de",http://viaf.org/viaf/72487033,M,España,1903,1924
"Ciriquiain Gaiztarro, Mariano",http://viaf.org/viaf/25899444,M,España,1898,1964
"Cisneros, Luis Fernán",http://viaf.org/viaf/70353225,M,Perú,1883,1954
"Cladel, Léon",http://viaf.org/viaf/59080486,M,Francia,1835,1892
"Clair, René",http://viaf.org/viaf/108964012,M,Francia,1898,1981
"Claretie, Jules",http://viaf.org/viaf/95172612,M,Francia,1840,1913
"Claretie, Léo",http://viaf.org/viaf/56712122,M,Francia,1862,1924
"Coca, Joaquín",https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Coca,M,España,1882,1962
"Cocteau, Jean",http://viaf.org/viaf/12306661,M,Francia,1889,1963
"Codesido, Julia",http://viaf.org/viaf/43468456,F,Perú,1883,1979
"Coeuroy, André",http://viaf.org/viaf/22140145,M,Francia,1891,1976
"Cohen, M. J.",Gaceta Literaria No. 109,NA,NA,1862,NA
"Coindreau, Maurice-Edgar",http://viaf.org/viaf/56607570,M,Francia,1892,1990
"Coll, Pedro Emilio",http://viaf.org/viaf/45690699,M,Venezuela,1872,1947
"Collantes de Terán, Alejandro",http://viaf.org/viaf/44192916,M,España,1901,1933
"Collantes, Saturnino Esteban",http://viaf.org/viaf/87368529,M,España,1847,1937
"Colomar, Miguel Ángel",http://viaf.org/viaf/2398450,M,España,1903,1970
"Colorado Sáenz, Blanca",http://letras-uruguay.espaciolatino.com/diaz_garbarino_patricia/blanca_de_la_vega.htm,F,Bolivia,1898,1996
"Colorado, Vicente",http://viaf.org/viaf/86777619,M,España,1850,1904
"Comba y García, Juan",http://viaf.org/viaf/95904068,M,España,1852,1924
"Comet, César A.",http://viaf.org/viaf/87632932,M,España,1890,1950
"Compañy, Manuel",https://es.wikipedia.org/wiki/Manuel_Compa%C3%B1y,M,España,1858,1909
"Conde, Carmen",http://viaf.org/viaf/114239041,F,España,1907,1996
Confucius,http://viaf.org/viaf/89664672,M,China,-551,-479
"Conrad, Joseph",http://viaf.org/viaf/73862853,M,Polonia,1857,1924
"Conrotte, Manuel",http://viaf.org/viaf/71358289,M,España,1862,NA
"Contreras y Camargo, Enrique",http://viaf.org/viaf/86632744,M,España,1872,1939
"Contreras, Francisco",http://viaf.org/viaf/5056829,M,Chile,1877,1933
"Coomans, Joseph",http://viaf.org/viaf/17610895,M,Bélgica,1816,1889
"Copland, Aaron",http://viaf.org/viaf/51874819,M,Estados Unidos,1900,1990
"Coppée, François",http://viaf.org/viaf/46759181,M,Francia,1842,1908
"Coppinger, Cornelio C.",https://es.wikipedia.org/wiki/Jos%C3%A9_Coppinger,M,Irlanda,NA,NA
"Corao, Ángel",http://viaf.org/viaf/22058640,M,Venezuela,1897,1951
"Córdova Iturburu, Cayetano",http://viaf.org/viaf/62886506,M,Argentina,1899,1977
"Córdova Maza, Guillermo",https://www.artistasvisualeschilenos.cl/658/w3-article-40040.html,M,Chile,1869,1936
"Córdova, Federico",http://viaf.org/viaf/56490617,M,Cuba,1878,1960
"Cornejo Koster, Enrique",https://books.google.de/books?id=1GdnDwAAQBAJ&pg=PA144&lpg=PA144&dq=enrique+cornejo+koster+peru&source=bl&ots=DXDqD6mYlN&sig=ACfU3U024q4FdBkeCPJIGDCmht8MTItMdw&hl=de&sa=X&ved=2ahUKEwiPy4KQt8TmAhUDzaQKHUARBMAQ6AEwBnoECAoQAQ#v=onepage&q=enrique%20cornejo%20koster%20peru&f=false,M,Argentina,NA,NA
"Corominas, Pedro",http://viaf.org/viaf/49264855,M,España,1870,1939
"Coronado, Carolina",http://viaf.org/viaf/5738205,F,España,1820,1911
"Corral, José Isaac del",http://viaf.org/viaf/20041780,M,Cuba,1882,1946
"Corrales y Sánchez, Enrique",http://viaf.org/viaf/315088482,M,España,1851,1905
"Correa Calderón, Evaristo",http://viaf.org/viaf/7399941,M,España,1899,1986
"Correa de Malvehy, Avelina",https://www.ecured.cu/Avelina_Correa_de_Malvehy,F,Cuba,1875,1927
"Correa, Eduardo J.",http://viaf.org/viaf/11497470,M,México,1874,1964
"Correa, Rafael",https://www.artistasvisualeschilenos.cl/658/w3-article-40444.html,M,Chile,1872,NA
"Correira Rocha, Adolfo",http://viaf.org/viaf/111131361,M,Portugal,NA,NA
"Correns, Carl W.",http://viaf.org/viaf/41930689,M,Alemania,1893,1980
"Corretjer, Juan Antonio",http://viaf.org/viaf/17241409,M,Puerto Rico,1908,1985
"Cortarelo, Emilio",http://viaf.org/viaf/34591990,M,España,1857,1936
"Cortés Juárez, Erasto",http://viaf.org/viaf/38651389,M,México,1900,1972
"Cortón, Antonio",http://viaf.org/viaf/20056301,M,España,1854,1913
"Corzo y Príncipe, Enrique",https://books.google.de/books?id=iWix-UC0VL8C&pg=PA58&lpg=PA58&dq=ruy+diaz+enrique+corzo&source=bl&ots=pBKyRpK4L3&sig=ACfU3U2bA0QvzRt341FOD-mZRdT6AcfA3w&hl=de&sa=X&ved=2ahUKEwjyuJXDybXnAhVGEVAKHdXDA8sQ6AEwDXoECAkQAQ#v=onepage&q=ruy%20diaz%20enrique%20corzo&f=false,M,España,1871,1932
"Cosío Villegas, Daniel","https://viaf.org/viaf/56607850/#Cos%C3%ADo_Villegas,_Daniel,_1898-1976",M,México,1898,1976
"Cosio, José Gabriel",http://viaf.org/viaf/304171468,M,Perú,1887,1960
"Cósmes, Francisco G.",http://viaf.org/viaf/11786376,M,México,1850,1907
"Cossío Gutierrez, Francisco",http://viaf.org/viaf/35263468,M,España,1894,1970
"Cossío, José María de",http://viaf.org/viaf/29546184,M,España,1893,1977
"Costa y Martínez, Joaquín",http://viaf.org/viaf/59098193,M,España,1846,1911
"Costa, Augusto da",http://viaf.org/viaf/63585607,M,Portugal,1899,1954
"Costa, Joaquim Correia da",http://viaf.org/viaf/99881829,M,Portugal,1896,1968
"Courrier, Paul-Louis",http://viaf.org/viaf/5724843,M,Francia,1772,1825
"Courteline, Georges",http://viaf.org/viaf/100266752,M,Francia,1858,1929
"Couto Castillo, Bernardo",http://viaf.org/viaf/43370886,M,México,1880,1901
"Covarrubias, Miguel",http://viaf.org/viaf/9977968,M,México,1904,1957
"Covo, Mercado",http://viaf.org/viaf/73418783,M,NA,1874,1940
"Cowley, Malcom",http://viaf.org/viaf/91308069,M,Estados Unidos,1898,1989
"Cox, Carlos Manuel",http://viaf.org/viaf/212506539,M,Perú,1902,1986
"Cranach, Lucas",http://viaf.org/viaf/49268177,M,Alemania,1472,1553
"Cravioto, Alfonso",http://viaf.org/viaf/72798864,M,México,1884,1955
"Crawford, Francis Marion",http://viaf.org/viaf/4958780,M,Italia,1854,1909
"Creeft, José de","https://viaf.org/viaf/39650438/#De_Creeft,_Jos%C3%A9,_1884-1982",M,España,1884,1982
"Crémieux, Benjamin",http://viaf.org/viaf/66619225,M,Francia,1888,1944
"Crespo de la Serna, Jorge Juan",https://en.wikipedia.org/wiki/Jorge_Juan_Crespo_de_la_Serna,M,México,1887,1978
"Crevel, René",http://viaf.org/viaf/9845043,M,Francia,1900,1935
"Creydt, Oscar Adalberto Federico",http://viaf.org/viaf/59418738,M,Paraguay,1906,1987
"Criado Tejada, Víctor L.",http://viaf.org/viaf/58620422,M,NA,NA,NA
"Crivez, Paul Théodore",https://books.google.de/books?id=3jX0CwAAQBAJ&pg=PA747&lpg=PA747&dq=Paul+Th%C3%A9odore+Crivez&source=bl&ots=1SeK6BMegQ&sig=eCePnEEtfaqNRDIlC4tDQjsarlQ&hl=de&sa=X&ved=2ahUKEwjp6rbzzPvdAhWB2KQKHUooC-oQ6AEwDnoECAkQAQ#v=onepage&q=Paul%20Th%C3%A9odore%20Crivez&f=false,M,NA,NA,NA
"Croce, Benedetto",http://viaf.org/viaf/61544292,M,Italia,1866,1952
"Crosby, Harry",https://en.wikipedia.org/wiki/Harry_Crosby,M,Estados Unidos,1898,1929
"Crowder, Enoch Herbert",http://viaf.org/viaf/21288706,M,Estados Unidos,1859,1932
"Cruchaga Santa María, Ángel",http://viaf.org/viaf/24610336,M,Chile,1893,1964
"Cruz Collado, Antonio de la",http://viaf.org/viaf/95925885,M,España,1905,1962
"Cruz Rueda, Ángel",http://viaf.org/viaf/91311175,M,España,1888,1961
"Cruz Varela, Juan",http://viaf.org/viaf/64000041,M,Argentina,1794,1839
"Cruz-López, Elena",http://academiadesobedientelasnews.blogspot.com/2006_03_01_archive.html,F,España,1907,1980
"Cruz, Manuel de la",http://viaf.org/viaf/25996054,M,Portugal,1861,1896
"Cruz, Ramón de la",http://viaf.org/viaf/56630826,M,España,1731,1794
"Cuadra, Pablo Antonio",http://viaf.org/viaf/115151710,M,Nicaragua,1912,2002
"Cuadros Caldas, Julio",http://viaf.org/viaf/51564425,M,Colombia,1885,NA
"Cubeiro, Domingo",https://gl.wikipedia.org/wiki/Domingo_Cubeiro,M,Argentina,1892,1968
"Cubero, Antonio M.","Bonet, Juan Manuel. Diccionario de las Vanguardias en España 1907-1936. Madrid: Alianza, 2007.",M,España,NA,NA
"Cuenca, Agustín F.",http://viaf.org/viaf/122145857022622921210,M,México,1850,1884
"Cuenca, Carlos Luis de",http://viaf.org/viaf/87781434,M,España,1849,1927
"Cuenca, Hector",http://viaf.org/viaf/70601803,M,Venezuela,1897,1961
"Cuervo Radigales, Máximo",http://viaf.org/viaf/99737902,M,España,1893,1982
"Cuervo, Angel",http://viaf.org/viaf/59150420,M,Colombia,1838,1896
"Cuesta, Jorge",http://viaf.org/viaf/56669781,M,México,1903,1942
"Cueto, Germán","https://viaf.org/viaf/68553787/#Cueto,_Germa%CC%81n,_1893-1975",M,México,1893,1975
"Cummings, E.E.",http://viaf.org/viaf/12306931,M,Estados Unidos,1894,1962
"Cúneo, José",http://viaf.org/viaf/38029297,M,Uruguay,1887,1977
"Cunninghame Graham, Robert Bontine",http://viaf.org/viaf/61539913,M,Reino Unido,1852,1936
"Curatella Manes, Germaine",https://books.google.de/books?id=G9lLDwAAQBAJ&pg=PA96&lpg=PA96&dq=germaine+curatella+manes&source=bl&ots=nm8NlRlawo&sig=ACfU3U2Unt2sEAA47fRz1iJn_nabLpF3Eg&hl=de&sa=X&ved=2ahUKEwjRi82868rhAhWQDewKHa4YBQwQ6AEwC3oECAcQAQ#v=onepage&q=germaine%20curatella%20manes&f=false,F,Francia,NA,NA
"Curatella Manes, Pablo",http://viaf.org/viaf/64336826,M,Argentina,1891,1962
"Curtius, Ernst Robert",http://viaf.org/viaf/49241741,M,Alemania,1886,1956
"Cutanda, Vicente",http://viaf.org/viaf/87718033,M,España,1850,1925
"Cyrano de Bergerac, Savinien de",http://viaf.org/viaf/12306965,M,Francia,1619,1655
"D'Annunzio, Gabriele",http://viaf.org/viaf/49220129,M,Italia,1863,1938
"D'Esplugues, Miquel",http://viaf.org/viaf/305865101,M,España,1870,1934
"d'Oliveira, Felippe",http://viaf.org/viaf/36110277,M,Brasil,1891,1933
"Da Gloria Teixeira de Vasconcellos, María",http://viaf.org/viaf/99879739,F,NA,1883,1980
"Dalí, Salvador",http://viaf.org/viaf/64004109,M,España,1904,1989
"Dante, Alighieri",http://viaf.org/viaf/97105654,M,Italia,1265,1321
"Danton, Georges-Jacques",http://viaf.org/viaf/78772915,M,Francia,1759,1794
"Danvila y Collado, Manuel",http://viaf.org/viaf/386387,M,España,1830,1906
"Dargallo, Remigio",http://viaf.org/viaf/87986355,M,NA,1889,1972
"Darío, Rubén",http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916
"Dato, Eduardo",http://viaf.org/viaf/310652293,M,España,1856,1921
"Daudet, Alphonse",http://viaf.org/viaf/4928621,M,Francia,1840,1897
"Dávalos, Balbino",http://viaf.org/viaf/18901900,M,México,1866,1951
"David, Hermine",http://viaf.org/viaf/64572,F,Francia,1886,1970
"David, Jacques-Louis-Jules",http://viaf.org/viaf/66575297,M,Francia,1748,1825
"Davray, Henry-D.",http://viaf.org/viaf/89624732,M,Francia,1873,1944
"Dawley, Thomas R.","https://viaf.org/viaf/36031692/#Dawley,_T._R._(Thomas_Robinson),_1832-1904",M,NA,1832,1904
"Amicis, Edmondo de",http://viaf.org/viaf/56621064,M,Italia,1846,1908
"De Carril, Adelina",http://viaf.org/viaf/33736986,F,Argentina,1889,1967
"De Chirico, Giorgio",http://viaf.org/viaf/104172730,M,Italia,1888,1978
"De Guerra Junqueiro, Abílio Manuel",http://viaf.org/viaf/74145857814523020426,M,Portugal,1850,1923
"De Lapi, Fernando",http://viaf.org/viaf/5148704099436931881,M,España,1891,1961
"De Paoli, Pedro",http://viaf.org/viaf/45465543,M,Argentina,1897,1986
"De Quincey, Thomas",http://viaf.org/viaf/14768427,M,Reino Unido,1785,1859
"De Zuani, Ettore",http://viaf.org/viaf/304916454,M,NA,NA,NA
"Del Prado, Blanca",http://www.librosperuanos.com/autores/articulo/00000000386/Blanca-del-Prado-una-figura-olvidada,F,Perú,1903,1979
"Del Prado, Julio",http://www.resonancias.org/content/read/765/los-inicios-del-cuento-moderno-en-el-peru-por-maynor-freyre/,M,Perú,NA,NA
"Del Valle, Bonilla",https://es.wikipedia.org/wiki/Ernesto_Bonilla_del_Valle,M,Perú,1905,2005
"Del Valle, Felix",http://viaf.org/viaf/106990502,M,Perú,1892,1950
"Del Valle, Rosamel",http://viaf.org/viaf/121748243,M,Chile,1901,1965
"Délano, Luis Enrique",http://viaf.org/viaf/32061726,M,Chile,1907,1985
"Delarue-Mardrus, Lucie",http://viaf.org/viaf/34455354,F,Francia,1874,1945
"Delaunay, Berthe",http://viaf.org/viaf/76440636,M,Francia,NA,NA
"Delaunay, Robert",http://viaf.org/viaf/68979341,M,Francia,1885,1941
"Delaunay, Sonia",http://viaf.org/viaf/12307152,F,Rusia,1885,1979
"Deleito y Piñuela, José",http://viaf.org/viaf/47075006,M,España,1879,1957
"Delfino, Augusto Mario",http://viaf.org/viaf/70436126,M,Uruguay,1906,1961
"Delgado A., M. Julio",http://viaf.org/viaf/70459727,M,Perú,NA,NA
"Delgado Fito, Candido",http://viaf.org/viaf/86978601,M,España,1898,1958
"Delgado Olivares, Carlos",https://www.geni.com/people/Carlos-Delgado-Olivares/6000000000301545321,M,España,1903,1996
"Delgado, Alexis",https://books.google.de/books?id=8lklYITjHxgC&pg=PA107&lpg=PA107&dq=alexis+delgado+poeta&source=bl&ots=PumvuKh9U-&sig=ACfU3U2SIorq-S0pSNa7LrEQFWU_TsCwvg&hl=de&sa=X&ved=2ahUKEwje64mEn9LhAhXE_KQKHZ3uDaMQ6AEwD3oECAcQAQ#v=onepage&q=alexis%20delgado%20poeta&f=false,M,Uruguay,NA,NA
"Delgado, Eleuterio",http://viaf.org/viaf/86583321,M,España,1852,1908
"Delgado, Honorio",http://viaf.org/viaf/188861779,M,Perú,1892,1969
"Delgado, José María",http://viaf.org/viaf/75272697,M,Uruguay,1884,1956
"Delgado, Juan B.",http://viaf.org/viaf/2378896,M,México,1868,1929
"Delgado, Rafael",http://viaf.org/viaf/9935416,M,México,1853,1914
"Delgado, Sinesio",http://viaf.org/viaf/34715129,M,España,1859,1928
"Delhez, Victor",http://viaf.org/viaf/69108176,M,Argentina,1902,1985
"Della Costa, Pablo",http://viaf.org/viaf/310591307,M,Argentina,NA,NA
"Della Latta, Jerónimo",http://www.unsam.edu.ar/escuelas/politica/centro_historia_politica/material/148.pdf,M,Argentina,NA,NA
"Dellepiane, Antonio",http://viaf.org/viaf/47135277,M,Argentina,1864,1939
"Delorme, Rafael",https://es.wikipedia.org/wiki/Rafael_Delorme,M,España,1867,1897
"Delpit, Albert",http://viaf.org/viaf/136792,M,Francia,1849,1893
"Delteil, Joseph",http://viaf.org/viaf/2608285,M,Francia,1894,1978
"Demolins, Edmond",http://viaf.org/viaf/27097588,M,Francia,1852,1907
"Depero, Fortunato",http://viaf.org/viaf/14782093,M,Italia,1892,1960
"Derain, André",http://viaf.org/viaf/2469239,M,Francia,1880,1954
"Dermée, Paul",http://viaf.org/viaf/34470693,M,Bélgica,1886,1951
"Déroulède, Paul",http://viaf.org/viaf/61560338,M,Francia,1846,1914
"Derzavin, Konstantin Nikolaevic",http://viaf.org/viaf/35440968,M,Rusia,1903,1956
"Descaves, Lucien",http://viaf.org/viaf/85152036,M,Francia,1861,1949
"Deslaw, Eugène",http://viaf.org/viaf/69163308,M,Rusia,1899,1966
"Deslignères, André",http://viaf.org/viaf/56704635,M,Francia,1880,1968
"Despujol, Eulogio",http://viaf.org/viaf/86889219,M,España,1834,1907
"Desvernine, Raoul E.",http://viaf.org/viaf/9406830,M,Estados Unidos,1891,1966
"Deus, João de","https://viaf.org/viaf/46774453/#Deus,_Jo%C4%83o_de,_1830-1896",M,Portugal,1830,1896
"Devéscovi, Juan",https://core.ac.uk/download/pdf/80609530.pdf,M,Perú,NA,NA
"Devree, Howard",https://prabook.com/web/howard.devree/1085495,M,Estados Unidos,1880,1966
"Díaz Arrieta, Hernán",http://viaf.org/viaf/19036366,M,Chile,1891,1984
"Díaz Casanueva, Humberto",http://viaf.org/viaf/94864207,M,Chile,1906,1992
